Pressure	Height	Temperature	Dew Point	Wind Direction	Wind Speed
223	11363.77	-53.3	-63.3	-9999	-9999
212	11688.98	-54.7	-66.7	-9999	-9999
200	12060	-57.5	-68.5	0	39.01
195	12219.1	-58.5	-70.5	0	41.01
189	12416.31	-57.65	-72.09	355	35
181	12689.22	-56.47	-74.28	330	25.99
176	12865.99	-55.7	-75.7	-9999	-9999
168	13160.76	-56.59	-78.36	350	22.01
167	13198.59	-56.7	-78.7	-9999	-9999
159	13510.08	-55.87	-80.47	345	25.99
154	13712.82	-55.32	-81.63	355	29
152	13795.76	-55.1	-82.1	-9999	-9999
150	13880	-55.7	-82.7	5	21
149	13922.66	-55.7	-82.7	5	19
146	14052.38	-55.7	-82.7	-9999	-9999
145	14095.77	-56.02	-82.8	35	10
138	14408.16	-58.36	-83.55	315	0.99
133	14641.14	-60.1	-84.1	290	8.99
132	14688.24	-60.2	-84.2	290	10
128	14880.25	-60.6	-84.6	325	16.01
127	14929.19	-60.7	-84.7	-9999	-9999
124	15078.29	-60.3	-85.3	-9999	-9999
123	15128.99	-59.7	-85.7	325	20.01
122	15180.09	-59.1	-86.1	-9999	-9999
121	15232.05	-57.9	-85.4	330	17
120	15284.45	-56.7	-84.7	-9999	-9999
116	15497.68	-57.59	-85.14	305	10
113	15662.49	-58.27	-85.49	325	12
103	16245.29	-60.7	-86.7	-9999	-9999
100	16430	-59.5	-87.5	290	13
96	16686.23	-58.46	-87.33	305	18.01
91	17021.96	-57.1	-87.1	-9999	-9999
90	17091.68	-57.12	-87.12	295	13
86	17378.49	-57.2	-87.2	245	10.99
81.3	17733.06	-57.3	-87.3	-9999	-9999
78	17992.79	-58.29	-87.91	280	14.01
72.9	18416.63	-59.9	-88.9	-9999	-9999
71	18581.46	-59.38	-89.03	250	10.99
70	18670	-59.1	-89.1	255	13
66	19042.02	-58.02	-88.79	265	10
63	19336.14	-57.17	-88.55	235	13
61	19540.11	-56.57	-88.38	265	13
60.1	19634.09	-56.3	-88.3	-9999	-9999
59	19751.31	-56.61	-88.35	250	14.01
56	20082.48	-57.5	-88.5	-9999	-9999
55	20196.56	-57.47	-88.47	270	10
52	20551.68	-57.37	-88.37	265	6
50	20800	-57.3	-88.3	225	10.99
49	20927.95	-56.81	-88.16	225	13
48	21058.53	-56.31	-88.02	240	10.99
47.2	21164.97	-55.9	-87.9	-9999	-9999
46	21328.37	-56.01	-88.01	330	10
44	21610.41	-56.19	-88.19	35	0.99
41	22058.46	-56.48	-88.48	225	10
40.8	22089.49	-56.5	-88.5	-9999	-9999
40	22214.38	-57.18	-88.5	230	12
38.5	22455.44	-58.5	-88.5	-9999	-9999
35.4	22984.87	-56.5	-88.5	-9999	-9999
34	23239.83	-57.38	-88.65	315	10
33.5	23333.44	-57.7	-88.7	-9999	-9999
33	23428.28	-57.63	-88.81	345	10
30.8	23863.41	-57.3	-89.3	-9999	-9999
30	24030	-56.1	-89.1	255	6
27.8	24517.96	-53.3	-87.3	-9999	-9999
27	24705.29	-53.91	-87.36	200	4.99
25	25199.04	-55.5	-87.5	245	20.01
24	25460.82	-55.13	-87.5	280	21
23	25733.75	-54.75	-87.5	350	13
22	26018.8	-54.35	-87.5	315	2.99
20	26630	-53.5	-87.5	310	10
19.7	26727.21	-52.9	-86.9	-9999	-9999
19	26960.01	-53.04	-87.04	290	10.99
18	27307.92	-53.26	-87.26	310	21
17.8	27379.81	-53.3	-87.3	-9999	-9999
16	28072.99	-51.37	-86.53	340	16.01
15	28492.62	-50.21	-86.06	345	10
14	28941.21	-48.96	-85.56	295	14.01
13.5	29177.67	-48.3	-85.3	-9999	-9999
13	29425.81	-48.3	-85.3	330	17
12	29952.1	-48.3	-85.3	75	0.99
11.8	30062.61	-48.3	-85.3	-9999	-9999
11.3	30346.4	-49.7	-85.7	-9999	-9999
11	30523.32	-49.08	-85.52	295	14.01
10	31150	-46.9	-84.9	250	8
9.3	31630.83	-46.7	-84.7	-9999	-9999
9	31847.32	-48.04	-85.3	220	10
8.9	31921.09	-48.5	-85.5	-9999	-9999
8.1	32545.97	-44.5	-84.5	-9999	-9999
8	32629.16	-44.46	-84.46	290	10.99
7.6	32972.62	-44.3	-84.3	-9999	-9999
7	33521.12	-46	-84.3	270	23
6.9	33617.09	-46.3	-84.3	-9999	-9999
6.6	33913.43	-44.5	-84.5	-9999	-9999
